A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,Type
0.078431,0.321429,0.5,0.461538,0.407407,0.454545,0.347826,0.481481,0.40625,0.205128,0.272727,0.322581,0.458333,0.478261,0.307692,0.12,0.842105,0.5,0.333333,0.061224,0.342857,0.32,0.36,0.6,0.384615,0.322581,0.296296,0.5,0.571429,0.208333,0,0.878297,0.87936,0.405263,0.041933,0.289474,0.241557,0.75341,0.464037,0.130573,0.575635,0.130573,0.618059,Jogging
0.235294,0.428571,0.214286,0.269231,0.407407,0.454545,0.478261,0.333333,0.375,0.25641,0.363636,0.354839,0.291667,0.434783,0.5,0.48,0.315789,0.423077,0.333333,0.081633,0.314286,0.44,0.44,0.45,0.461538,0.322581,0.407407,0.454545,0.333333,0.166667,0,0.842203,0.831395,0.289474,0.036636,0.222806,0.310573,0.718783,0.469838,0.240446,0.577665,0.240446,0.62273,Jogging
0.27451,0.321429,0.392857,0.346154,0.333333,0.5,0.521739,0.296296,0.15625,0.307692,0.272727,0.322581,0.5,0.434783,0.384615,0.44,0.421053,0.269231,0.333333,0.122449,0.2,0.44,0.4,0.45,0.307692,0.354839,0.407407,0.409091,0.47619,0.25,0,0.849144,0.97093,0.340352,0.032141,0.337895,0.306902,0.719832,0.472158,0.25,0.577665,0.25,0.619616,Jogging
0.156863,0.357143,0.392857,0.384615,0.592593,0.454545,0.434783,0.444444,0.21875,0.205128,0.333333,0.322581,0.458333,0.434783,0.538462,0.24,0.473684,0.423077,0.333333,0.102041,0.371429,0.32,0.28,0.55,0.461538,0.354839,0.37037,0.318182,0.52381,0.229167,0,0.903286,0.869186,0.3,0.046599,0.610526,0.335536,0.678909,0.457077,0.257962,0.526904,0.257962,0.664245,Jogging
0.235294,0.321429,0.392857,0.307692,0.296296,0.409091,0.478261,0.37037,0.34375,0.282051,0.272727,0.290323,0.416667,0.304348,0.461538,0.4,0.526316,0.346154,0.433333,0.122449,0.2,0.48,0.56,0.5,0.307692,0.290323,0.444444,0.545455,0.47619,0.145833,0,0.953262,0.844477,0.31228,0.037991,0.531579,0.418502,0.665268,0.432715,0.351115,0.515736,0.351115,0.720291,Jogging
0.137255,0.357143,0.214286,0.384615,0.185185,0.409091,0.304348,0.222222,0.3125,0.230769,0.242424,0.290323,0.291667,0.478261,0.115385,0.36,0.473684,0.307692,0.166667,0.122449,0.257143,0.32,0.28,0.35,0.307692,0.258065,0.259259,0.409091,0.380952,0.208333,0,0.812124,0.829942,0.342105,0.041362,0.357895,0.310573,0.572928,0.36891,0.329618,0.57868,0.329618,0.548002,Jogging
0.117647,0.285714,0.428571,0.576923,0.740741,0.454545,0.347826,0.407407,0.1875,0.153846,0.242424,0.290323,0.583333,0.434783,0.384615,0.48,0.473684,0.346154,0.333333,0.061224,0.371429,0.24,0.36,0.5,0.307692,0.354839,0.518519,0.545455,0.380952,0.229167,0,0.938454,0.723837,0.347368,0.029511,0.3,0.337739,0.663169,0.431555,0.276274,0.530964,0.276274,0.685522,Jogging
0.235294,0.214286,0.428571,0.423077,0.222222,0.5,0.434783,0.592593,0.3125,0.205128,0.212121,0.419355,0.416667,0.434783,0.384615,0.36,0.421053,0.307692,0.4,0.081633,0.285714,0.36,0.36,0.55,0.346154,0.419355,0.518519,0.5,0.285714,0.208333,0,0.974549,0.734012,0.594737,0.026255,0.321053,0.444934,0.689402,0.386311,0.377389,0.538071,0.377389,0.748832,Jogging
0.254902,0.357143,0.285714,0.307692,0.333333,0.5,0.304348,0.444444,0.5,0.179487,0.30303,0.387097,0.375,0.565217,0.269231,0.28,0.526316,0.307692,0.433333,0.061224,0.285714,0.44,0.4,0.5,0.461538,0.419355,0.333333,0.454545,0.380952,0.208333,0,0.954188,0.728198,0.336842,0.030811,0.317543,0.45815,0.703043,0.389791,0.390924,0.548223,0.390924,0.738454,Jogging
0.313725,0.428571,0.214286,0.192308,0.259259,0.590909,0.478261,0.37037,0.34375,0.25641,0.30303,0.387097,0.5,0.347826,0.346154,0.28,0.684211,0.538462,0.266667,0.040816,0.428571,0.4,0.56,0.3,0.346154,0.322581,0.333333,0.318182,0.52381,0.25,0,0.925035,0.655523,0.252632,0.040623,0.805263,0.488253,0.736621,0.477958,0.417994,0.608122,0.417994,0.756617,Jogging
